name,cnt,location
上海浦东香格里拉大酒店,5,"121.498992,31.235441"
东大名创库,5,"121.424072,31.198459"
六岛艺术中心,5,"121.449152,31.248468"
外滩二十二号画廊,5,"121.493803,31.230281"
大烟囱艺术中心,5,"121.388397,31.190458"
太阳虹画廊,5,"121.449826,31.248245"
德佳艺术空间,5,"121.525346,31.293984"
斯沃琪和平饭店艺术中心,5,"121.489341,31.238648"
艺通佰通艺术中心,5,"121.412621,31.163994"
9平米美术馆,4,"121.484499,31.235236"
Jewelvary Art and Boutique,4,"121.440496,31.196771"
Liang Project  Co Space,4,"121.449076,31.247566"
Office339,4,"121.458217,31.226381"
Shirley’s Temple-Art,4,"121.437546,31.204159"
上海800号美术馆,4,"121.524849,31.293614"
上海ADA艺术空间,4,"121.449076,31.247566"
上海圣菱画廊,4,"121.438074,31.210059"
上海梧桐美术馆,4,"121.314840,31.259731"
上海环球港美术馆,4,"121.412656,31.232492"
半空间艺术馆,4,"121.477831,31.213237"
华氏画廊,4,"121.424172,31.199065"
南希艺术画廊,4,"121.469300,31.207850"
原境界美术馆,4,"121.490297,31.249647"
悬浮@老码头,4,"121.506509,31.219482"
搞艺术画廊,4,"121.460840,31.223510"
敦煌艺术中心,4,"121.413648,31.194221"
新桥美术馆,4,"121.284893,31.068656"
漾上海艺术空间001,4,"121.495201,31.247127"
熏依社画廊（上海）,4,"121.451586,31.210724"
红桥画廊,4,"121.404114,31.198591"
要空间,4,"121.449199,31.247767"
香瓜侠公社,4,"121.484818,31.265848"
鲲鲤国际影廊,4,"121.442522,31.222116"
鼎艺会,4,"121.374077,31.181132"
203艺术空间,3,"121.448995,31.247302"
Kè Fáng Art Space,3,"121.547593,31.308176"
上海城市雕塑艺术中心,3,"121.424072,31.198459"
上海玻璃博物馆,3,"121.471876,31.343666"
东画廊（西岸）,3,"121.461670,31.173740"
亦安画廊（上海）,3,"121.549023,31.267100"
其他画廊（上海2空间）,3,"121.626876,31.212981"
兼容的盒子,3,"121.421494,31.201812"
喜玛空间,3,"121.561733,31.209303"
壹号美术馆,3,"121.471748,31.210538"
复星艺术中心,3,"121.497244,31.225789"
新波画廊,3,"121.447250,31.248539"
春天画廊,3,"121.460223,31.214864"
池社,3,"121.462326,31.168405"
泉水边画廊,3,"121.447735,31.248249"
美丽道国际艺术机构,3,"121.501180,31.249960"
胶囊上海,3,"121.441575,31.212641"
言午画廊,3,"121.356624,31.157543"
费历尼画廊,3,"121.455534,31.219419"
顶盛美术馆,3,"121.467014,31.207553"
龙门雅集（已搬迁）,3,"121.469391,31.215304"
1933老场坊,2,"121.491859,31.254910"
90艺术中心,2,"121.425572,31.134927"
A-PIECE,2,"121.448477,31.204369"
Amanasalto,2,"121.505179,31.210677"
CANART当代艺术机构,2,"121.423587,31.207370"
大库艺术空间,2,"121.461500,31.167394"
Fab Union Space,2,"121.462326,31.168405"
KING空间,2,"121.524630,31.293970"
REFORMERart,2,"121.438245,31.208316"
SSSSTART,2,"121.463426,31.181865"
V空间-上海,2,"121.461856,31.168242"
学古斋画廊,15,"121.428727,31.218887"
WhyWhyArt,2,"121.428727,31.218887"
上海丽安当代艺术空间,2,"121.546201,31.308450"
上海喜玛拉雅中心,2,"121.562140,31.208940"
上海当代艺术博物馆设计中心（psD）,2,"121.497777,31.201666"
上海月湖美术馆,2,"121.525500,31.380576"
上海纽约大学美术馆,2,"121.533572,31.225847"
上海证大现代艺术馆,2,"121.559676,31.226811"
上海韩国文化院,2,"121.436275,31.187797"
东外滩艺术空间,2,"121.519280,31.249479"
光复艺术中心,2,"121.383853,31.221081"
半岛美术馆,2,"121.501109,31.249752"
华视影廊,2,"121.443159,31.200917"
南岸艺术中心,2,"121.466470,31.240100"
坤画廊,2,"121.449076,31.247566"
大库画廊,2,"121.449076,31.247566"
宝山国际民间艺术博览馆,2,"121.385710,31.344404"
小心易碎画廊,2,"121.485922,31.365726"
德荷当代艺术中心,2,"121.447350,31.248493"
有尔艺术空间,2,"121.524620,31.293710"
比间艺术,2,"121.449856,31.248089"
洛克?外滩源兰心MEM,2,"121.487925,31.242766"
漾上海艺术空间,2,"121.449076,31.247566"
瓷屋,2,"121.462820,31.167579"
筑造空间,2,"121.449785,31.234096"
米奥画廊,2,"121.448814,31.247945"
索美画廊,2,"121.601128,31.257874"
翡翠画廊,2,"121.512479,31.216541"
自在空间画廊,2,"121.549296,31.266256"
艺术饭店,2,"121.411650,31.163684"
证大画廊,2,"121.561219,31.210799"
阿拉里奥画廊（西岸）,2,"121.461670,31.173740"
香港大学上海学习中心,2,"121.480421,31.241239"
140平方米画廊,1,"121.452430,31.211089"
166艺术空间,1,"121.434771,31.221931"
